model,pathway,reaction,flux,flux_as_written,orientation,biomass_flux,experimental_flux
iBB1018,PPP,TKT1,0.0,0.0,1.0,0.6254471624919032,1.055
iBB1018,PPP,TALA,0.0,0.0,1.0,0.6254471624919032,1.055
iBB1018,PPP,TKT2,-0.21351950544373693,-0.21351950544373693,1.0,0.6254471624919032,0.791
iBsu1147R,EMP,GLCpts,7.63,7.63,1.0,0.5545565412709136,7.63
iBsu1147R,EMP,PGI,7.488201045511731,7.488201045511731,1.0,0.5545565412709136,4.159
iBsu1147R,EMP,PFK,7.055144685218942,7.055144685218942,1.0,0.5545565412709136,6.005
iBsu1147R,EMP,FBA,7.055144685218942,7.055144685218942,1.0,0.5545565412709136,6.005
iBsu1147R,EMP,TPI,6.712816234649187,-6.712816234649187,-1.0,0.5545565412709136,6.005
iBsu1147R,EMP,GAPD,13.554496263766811,13.554496263766811,1.0,0.5545565412709136,11.577
iBsu1147R,EMP,PGK,13.554496263766811,-13.554496263766811,-1.0,0.5545565412709136,11.577
iBsu1147R,EMP,PGM,9.266344346752117,-9.266344346752117,-1.0,0.5545565412709136,11.577
iBsu1147R,EMP,ENO,9.266344346752117,9.266344346752117,1.0,0.5545565412709136,11.577
iBsu1147R,EMP,PYK,1.1395876441193629,1.1395876441193629,1.0,0.5545565412709136,3.944
iBsu1147R,TCA,CS,1.945052992042121,1.945052992042121,1.0,0.5545565412709136,
iBsu1147R,TCA,ACONT,1.945052992042121,1.945052992042121,1.0,0.5545565412709136,3.353
iBsu1147R,TCA,ICDHyr,1.945052992042121,1.945052992042121,1.0,0.5545565412709136,3.353
iBsu1147R,TCA,AKGDH,1.3243792422073586,1.3243792422073586,1.0,0.5545565412709136,2.638
iBsu1147R,TCA,SUCOAS,10.179300268502677,-10.179300268502677,-1.0,0.5545565412709136,2.638
iBsu1147R,TCA,SUCD1,1.3243792422073568,1.3243792422073568,1.0,0.5545565412709136,2.638
iBsu1147R,TCA,FUM,1.6685763995780944,-1.6685763995780944,-1.0,0.5545565412709136,2.638
iBsu1147R,TCA,MDH,1.6685763995780944,1.6685763995780944,1.0,0.5545565412709136,1.878
iBsu1147R,TCA,PDH,12.806852522659188,12.806852522659188,1.0,0.5545565412709136,7.405
iBsu1147R,TCA,PC,1.2328125749722865,1.2328125749722865,1.0,0.5545565412709136,3.504
iBsu1147R,PPP,G6PDH2r,0.0,0.0,1.0,0.5545565412709136,3.297
iBsu1147R,PPP,PGL,0.0,0.0,1.0,0.5545565412709136,3.297
iBsu1147R,PPP,GND,0.0,0.0,1.0,0.5545565412709136,3.297
iBsu1147R,PPP,RPI,0.24893794755475313,-0.24893794755475313,-1.0,0.5545565412709136,1.451
iBsu1147R,PPP,RPE,-0.24893794755475313,-0.24893794755475313,1.0,0.5545565412709136,1.846
iBsu1147R,PPP,TKT1,-0.01439798122374153,0.01439798122374153,-1.0,0.5545565412709136,1.055
iBsu1147R,PPP,TALA,-0.01439798122374153,-0.01439798122374153,1.0,0.5545565412709136,1.055
iBsu1147R,PPP,TKT2,-0.2345399663310116,0.2345399663310116,-1.0,0.5545565412709136,0.791
ecBSU1,EMP,GLCpts,7.63,7.63,1.0,0.5545565164493121,7.63
ecBSU1,EMP,PGI,7.488202730334772,7.488202730334772,1.0,0.5545565164493121,4.159
ecBSU1,EMP,PFK,7.0551463894252855,7.0551463894252855,1.0,0.5545565164493121,6.005
ecBSU1,EMP,FBA,7.0551463894252855,7.0551463894252855,1.0,0.5545565164493121,6.005
ecBSU1,EMP,TPI,6.71281963265415,-6.71281963265415,-1.0,0.5545565164493121,6.005
ecBSU1,EMP,GAPD,13.554501375532647,13.554501375532647,1.0,0.5545565164493121,11.577
ecBSU1,EMP,PGK,13.554501375532647,-13.554501375532647,-1.0,0.5545565164493121,11.577
ecBSU1,EMP,PGM,9.266365264586668,-9.266365264586668,-1.0,0.5545565164493121,11.577
ecBSU1,EMP,ENO,9.266365264586668,9.266365264586668,1.0,0.5545565164493121,11.577
ecBSU1,EMP,PYK,1.1396085468889599,1.1396085468889599,1.0,0.5545565164493121,3.944
ecBSU1,TCA,CS,1.9450658202760556,1.9450658202760556,1.0,0.5545565164493121,
ecBSU1,TCA,ACONT,1.9450658202760556,1.9450658202760556,1.0,0.5545565164493121,3.353
ecBSU1,TCA,ICDHyr,1.9450658202760556,1.9450658202760556,1.0,0.5545565164493121,3.353
ecBSU1,TCA,AKGDH,1.3243920609227886,1.3243920609227886,1.0,0.5545565164493121,2.638
