Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,3.375,24.75,0.2670937116733568
iYO844,3.375,25.5,0.2670937116733568
iYO844,3.375,26.25,0.2670937116733568
iYO844,3.375,27.0,0.2670937116733568
iYO844,3.375,27.75,0.2670937116733568
iYO844,3.375,28.5,0.2670937116733568
iYO844,3.375,29.25,0.2670937116733568
iYO844,3.375,30.0,0.2670937116733568
iYO844,3.75,0.0,0.0
iYO844,3.75,0.75,0.013921294749906884
iYO844,3.75,1.5,0.03897962529973933
iYO844,3.75,2.25,0.06403795584957164
iYO844,3.75,3.0,0.08909628639940405
iYO844,3.75,3.75,0.1141546169492364
iYO844,3.75,4.5,0.1392129474990687
iYO844,3.75,5.25,0.16427127804890101
iYO844,3.75,6.0,0.18634879339365265
iYO844,3.75,6.75,0.20385116625383418
iYO844,3.75,7.5,0.22126257214256562
iYO844,3.75,8.25,0.23798590608357356
iYO844,3.75,9.0,0.2547092400245814
iYO844,3.75,9.75,0.27143257396558923
iYO844,3.75,10.5,0.2881559079065971
iYO844,3.75,11.25,0.30048042563252647
iYO844,3.75,12.0,0.3004804256325263
iYO844,3.75,12.75,0.3004804256325263
iYO844,3.75,13.5,0.3004804256325263
iYO844,3.75,14.25,0.3004804256325263
iYO844,3.75,15.0,0.3004804256325263
iYO844,3.75,15.75,0.3004804256325263
iYO844,3.75,16.5,0.3004804256325263
iYO844,3.75,17.25,0.3004804256325263
iYO844,3.75,18.0,0.3004804256325263
iYO844,3.75,18.75,0.3004804256325263
iYO844,3.75,19.5,0.3004804256325263
iYO844,3.75,20.25,0.3004804256325263
iYO844,3.75,21.0,0.3004804256325263
iYO844,3.75,21.75,0.3004804256325263
iYO844,3.75,22.5,0.3004804256325263
iYO844,3.75,23.25,0.3004804256325263
iYO844,3.75,24.0,0.3004804256325263
iYO844,3.75,24.75,0.3004804256325263
iYO844,3.75,25.5,0.3004804256325263
iYO844,3.75,26.25,0.3004804256325263
iYO844,3.75,27.0,0.3004804256325263
iYO844,3.75,27.75,0.3004804256325263
iYO844,3.75,28.5,0.3004804256325263
iYO844,3.75,29.25,0.3004804256325263
iYO844,3.75,30.0,0.3004804256325263
iYO844,4.125,0.0,0.0
iYO844,4.125,0.75,0.019489812649869594
iYO844,4.125,1.5,0.044548143199702045
iYO844,4.125,2.25,0.06960647374953435
iYO844,4.125,3.0,0.09466480429936672
iYO844,4.125,3.75,0.11972313484919908
iYO844,4.125,4.5,0.1447814653990314
iYO844,4.125,5.25,0.16983979594886375
iYO844,4.125,6.0,0.19489812649869606
iYO844,4.125,6.75,0.21466145537335535
iYO844,4.125,7.5,0.23216382823352927
iYO844,4.125,8.25,0.24956359881196313
iYO844,4.125,9.0,0.26628693275297094
iYO844,4.125,9.75,0.2830102666939788
iYO844,4.125,10.5,0.2997336006349867
iYO844,4.125,11.25,0.31645693457599444
iYO844,4.125,12.0,0.33318026851700233
iYO844,4.125,12.75,0.333867139591696
iYO844,4.125,13.5,0.3338671395916961
iYO844,4.125,14.25,0.3338671395916961
iYO844,4.125,15.0,0.3338671395916961
iYO844,4.125,15.75,0.3338671395916961
